DATE,EUR_weighted_return,GBP_weighted_return,JPY_weighted_return,AUD_weighted_return,NZD_weighted_return,CAD_weighted_return,CHF_weighted_return,NOK_weighted_return,SEK_weighted_return,total_return,cumulative_return
2017-01,0.0,-0.0009301771928034576,0.006898444079968051,0.005199796396438871,0.008043658078963832,-0.0030491174213353764,0.0013492191843129382,-0.007111575309240814,-0.007972019812626536,0.002428228003677509,100.0
2017-02,-0.0010734060810154418,-0.001625966517628336,-0.00012236212094345462,-0.000515078335311155,-0.0,0.0020597345964437543,-0.0026572877311592884,0.0035779805584674855,0.005066921553221872,0.004710535922075436,100.47105359220754
2017-03,0.0005591549707961092,0.0006419625354392748,0.0016513532923380747,0.0004753193296527412,-0.0,5.902125741756568e-05,0.00014933705512907395,0.004755479037736688,-0.0005792017392273806,0.007712425739282148,101.24592913198488
2017-04,0.0010812039732429506,-0.0015592590085875655,-0.0003832533954906461,0.002674812380155457,-0.0019084154809886835,-0.0,0.001243971061093259,-0.00023529754415391546,-0.0011707498898715601,-0.0002569879046007038,101.2199101528079
2017-05,-0.0015085851459566498,0.0008340678479333013,0.000871360866621543,-0.0,0.0032269345942834617,0.0005377194281904958,0.0052438520355444634,-0.0034343769634748913,-0.001733267342687123,0.004037705320454602,101.62860632256782
2017-06,-0.000726806004817844,-0.0009617992854319597,-0.003133119772201475,0.0,0.0017929609315741034,0.004076130973041758,0.0011784149013878587,-0.002010254935786815,-0.004332860752885874,-0.004117333945120248,101.21016741196064
2017-07,-0.0017333873879226383,-0.0013301207886633412,0.0035747131649358794,0.0,0.0012666932266567725,0.0038263883323984282,-0.001593885785226555,-0.012143411197721306,-0.0064193686324087425,-0.014552379067951503,99.73731869025096
2017-08,0.0,0.0022541897540952595,0.00022186860650155786,0.000330070339170561,-0.0022008894096343895,-7.210382951448726e-05,0.0009248461458225202,-0.002497648589798125,-0.002165188637651922,-0.003204855621009025,99.41767498382214
2017-09,0.0009666108098456623,0.0,-0.0047495777402436065,0.0006930912423276601,0.00043437483886881893,3.444404346605453e-05,-0.0017680231357157907,0.005161791119763814,0.004101761846901533,0.004874473025214146,99.90228375876029
2017-10,0.0007920968203311541,0.0009507844782877221,-0.0023158357900294694,-0.0,-0.004936578105562472,-0.0016261834549122977,-0.004728375263105187,0.005217857536325909,0.004365428458884916,-0.002280805319779724,99.67442609850517
2017-11,-0.0010229886338406142,-0.003488711013761591,0.0016905851512862857,-0.0,-0.00016031050844880277,-5.299887566393313e-05,0.0018431272875152709,0.0028120041590537687,0.0001412188220123246,0.0017619263881527086,99.85004510007211
2017-12,-0.000562658045892711,0.0004474041698659067,-0.0006336247060389861,0.0,0.003784540540698867,0.0012340011129660525,0.0009831169497613616,-0.0006081369145502095,-0.0027177808660035076,0.001926862240806774,100.0424423817183
2018-01,-0.00166446424062888,-0.0098096973415284,0.00610028850116776,0.0,0.003965658159786682,0.001048233861144943,0.0065659222675542445,-0.006342599675850883,-0.005874860384830221,-0.006011518853184755,99.44103535322195
2018-02,0.000998277736835302,0.006279225116900492,0.004400843684087186,-0.0,-0.00204307822699603,-0.0020299641521196975,-0.0024049862375608477,0.002473866052445096,0.00771398719062095,0.01538817116421245,100.97125102598383
2018-03,-0.0003987730061349754,-0.003423331317361099,0.00022300635144669457,-0.0,0.0003606798617752324,-0.0002714440825190081,-0.002570170841630855,-0.0008135039425244752,0.0008699639188233083,-0.006023573058125177,100.36304331865853
2018-04,0.0021888766519823698,0.003760491329067916,-0.0045143366716970555,-0.0,-0.002756432228033136,0.0001808800623052991,-0.007869896543023029,0.0032317019922903285,0.0024278334019110317,-0.0033508820051962756,100.0267386028153
2018-05,0.003420031174546906,0.0071207472992481785,0.00039815750781107005,0.0,-0.0005064583028316597,-0.0004881540361166767,0.00047514708865895153,0.0031500788585680506,0.0004816452608409715,0.014051194850725791,101.43223379720608
2018-06,-0.0,0.00170312968564273,-0.002842315684857255,0.0010927431393115404,-0.0033362287699727888,-0.0007066707279926908,-0.0015479963662057329,-0.0004519154030326869,0.0017444121591416993,-0.004344841967965186,100.99152677089953
2018-07,0.00016825766434795544,0.0015206693545887309,-0.0019072625698324094,0.0,0.0007589249425448743,0.00045283308987468146,-0.00043532262950622853,0.0004122338143166913,-0.0007689070612521042,0.00020142660508219116,101.01186915127906
2018-08,0.0005045329246611685,0.0027473256921094753,0.0008071415706052001,-0.0,-0.002887628055434946,-0.00015070174093105104,0.0038993600330305255,0.00431545312555886,0.004131644241384196,0.01336712779098343,102.36210771463031
2018-09,7.667610174053754e-05,-0.0007895673559201572,-0.00508157790580059,0.0002775504357434087,-2.869917225545639e-05,-0.0009716798388346541,-0.0024082323592302087,-0.004221367815104401,0.0,-0.01314689790966152,101.0163635346883
2018-10,-0.0,0.0043270754324029135,0.0008874623693996332,-0.0010958241150442424,-0.0015524708562382214,0.0019553764871336906,-0.0043349115066184185,0.005326016096341053,0.001640486086112284,0.007153209993488691,101.73895479583052
