DATE,EUR_weighted_return,GBP_weighted_return,JPY_weighted_return,AUD_weighted_return,NZD_weighted_return,CAD_weighted_return,CHF_weighted_return,NOK_weighted_return,SEK_weighted_return,total_return,cumulative_return
2017-01,2.7304415149530763e-10,1.097971333039149e-10,0.034114416059381245,0.00024197852532347667,0.00033654735784555335,7.34548315264676e-23,6.388576522935218e-07,-1.3754871496058826e-22,-4.380182935819072e-15,0.034693581183039474,100.0
2017-02,4.6588121164087534e-30,3.660712916762037e-45,-1.2537746276396792e-20,-4.1468637683444985e-17,3.330450975983985e-17,1.7537183065399751e-15,-1.9289531793972275e-20,0.01788401132475408,1.1124190897476387e-05,0.0178951355156533,101.78951355156534
2017-03,1.948935635347316e-11,8.140730674680641e-13,2.1472663692494488e-07,9.375063500115676e-14,-2.457229274224761e-24,-5.358167853289576e-31,0.000225772911983548,0.016587434064424998,-1.30683791258636e-31,0.01681342172344265,103.50094356993188
2017-04,4.655580103818335e-13,1.2335204970708189e-21,-2.466483474322326e-07,1.479633714259451e-25,-3.562526404766643e-08,-4.664296970517441e-21,0.006219243262473506,-1.8100964977793603e-14,-5.77655672961286e-42,0.006218960989309482,104.14461190035001
2017-05,2.561052769570541e-22,1.1842053585408422e-17,0.00031762458530726654,-5.647857894715282e-22,0.00010179651280190111,1.462479950115298e-08,0.024702914335842204,-7.686213527160544e-14,-6.611843729486808e-35,0.025122350058674022,106.76096929723535
2017-06,-9.881406625750902e-21,-3.0989473725489382e-18,-0.015413990901665628,3.189861406352435e-16,6.85340696013588e-12,1.1703635692505961e-09,0.00012616764903279647,-1.3213349471898394e-08,-3.5230026274191526e-17,-0.015287835288765046,105.1288251833503
2017-07,-5.059285055074186e-18,-1.2919842632547552e-13,0.01787281243872579,-3.0402870524542307e-23,-4.8349038640110095e-42,9.225457758722865e-37,-4.4048261621113577e-07,-4.169290937304267e-08,-4.496600674688175e-10,0.01787232981341094,107.00772221992355
2017-08,-1.7514469155493577e-11,2.699801613766785e-10,1.8091301572136992e-06,3.2586527378376716e-11,2.7902656412588956e-18,3.0831844252029185e-20,1.1615036054310867e-06,-0.01244863168191808,-1.9525208247232508e-05,-0.012465185971350445,105.6738510620816
2017-09,1.055125971821209e-11,-5.5345760884807677e-14,-2.8770762122638063e-05,4.1467673130900355e-13,7.053124059248326e-26,-6.622699579060029e-24,-8.014334953905651e-07,0.025137419412656393,0.0006765172317854511,0.025784364459734404,108.39858415173
2017-10,8.408899684752637e-14,5.588551624316414e-07,-0.011388703366739358,9.623327236000909e-17,-1.6150259148145644e-26,1.6039569499071182e-24,-0.0004857271113558311,2.393459613580421e-05,1.8842569151659301e-06,-0.011848052769797604,107.11427200652896
2017-11,-2.54601664758732e-21,-6.559569279336133e-09,0.005305950828590374,1.611725053545158e-33,-3.336492142351104e-13,-1.3734747603237472e-25,0.004574565584512842,1.4246622063963915e-11,6.854489075549396e-14,0.009880509867515453,108.1726156280412
2017-12,-1.1912387310879254e-17,3.185033618691709e-07,-0.0026741226787642446,1.7195050721795412e-42,1.2868794456228199e-11,1.6128725111424534e-21,0.0010210400526297213,-1.6790203162413428e-17,-1.0234435070638525e-13,-0.0016527641100062326,107.99383181124567
2018-01,-2.838133910048802e-17,-3.300525138420677e-06,0.029350944054145445,-2.302666956289728e-24,1.0890470319767668e-18,4.5850318564505604e-41,0.0016481421323531842,-6.282687040763068e-17,-2.7330013841811388e-11,0.030995785634030108,111.34118547186455
2018-02,1.8481829980229495e-12,0.030346238355915947,0.0007323840805659804,1.51991227778006e-15,-4.517743145655634e-38,1.6726258208419483e-30,-2.3246389239568626e-06,2.3338007729408796e-08,5.291549111052415e-07,0.031076850292326503,114.80131882414383
2018-03,-4.603822922989383e-16,-0.008827030437458722,0.0002348617759406786,8.70920350005124e-29,4.56298193040266e-20,-4.156936372338975e-21,-0.004193586286405701,-3.9365317542020966e-11,5.853587180131538e-14,-0.012785754987230984,113.33349728944734
2018-04,3.4399750274345754e-17,0.012892031460179814,-0.0002779973550765763,1.2998826916918165e-63,-9.77718614026846e-19,4.991641238505377e-21,-0.012005766827670945,5.076995319750799e-11,2.5342978128402772e-17,0.0006082673282023041,113.40243435303942
2018-05,1.852538491265558e-29,1.676624442966522e-05,5.176270380041484e-05,1.0967145423900654e-27,-3.7727867360090914e-14,-1.3998430615023562e-23,0.0023282878447048855,1.4435071175186033e-16,-5.247524186183425e-39,0.002396816792897382,113.67423921205223
2018-06,-8.822066115432667e-27,7.550738968024217e-10,-0.0005677297599891365,-2.292068025520276e-27,-1.071757640040938e-11,-1.2139090969960783e-20,-0.007508081248930327,-7.646630016148137e-23,-7.484823238459337e-28,-0.008075810264563143,112.75622762420713
2018-07,-4.0730344773596435e-25,5.398286006413399e-12,-0.0018908893008001359,2.5114136148248337e-20,3.744250010678485e-09,6.638242602902397e-18,-0.0018529229342691665,5.561359432431061e-24,5.598163504705622e-21,-0.003743808485420999,112.33408990244357
2018-08,-1.8543119593399209e-22,8.393640055819058e-14,0.0021052677844423484,-3.951860577127519e-19,-7.28640756602552e-09,-5.151492885819832e-20,0.011868768121831064,3.6839392736180734e-25,-9.590800331265807e-24,0.013974028619949782,113.90384968973632
