Date,Germany,United Kingdom,Japan,Australia,New Zealand,Canada,Switzerland,Norway,Sweden,United States
11/30/2016,0.8,1.5,0.5,1.37,0.95,1.18,-0.34,3.55,1.39,1.69
12/31/2016,1.5,1.79,0.3,1.48,1.34,1.5,-0.01,3.47,1.74,2.07
1/31/2017,1.62,1.9,0.5,1.7,1.72,2.13,0.35,2.76,1.4,2.5
2/28/2017,1.91,2.3,0.2,1.95,2.03,2.05,0.65,2.55,1.78,2.74
3/31/2017,1.4,2.29,0.2,2.13,2.17,1.56,0.57,2.44,1.26,2.38
4/30/2017,1.7,2.58,0.4,2.14,2.08,1.64,0.44,2.24,1.87,2.2
5/31/2017,1.19,2.68,0.4,2.05,1.89,1.32,0.48,2.13,1.75,1.87
6/30/2017,1.39,2.48,0.3,1.93,1.74,1.01,0.2,1.93,1.72,1.63
7/31/2017,1.38,2.58,0.5,1.86,1.74,1.16,0.33,1.53,2.2,1.73
8/31/2017,1.58,2.77,0.6,1.82,1.83,1.4,0.46,1.35,2.15,1.94
9/30/2017,1.68,2.76,0.7,1.83,1.9,1.55,0.65,1.63,2.12,2.23
10/31/2017,1.28,2.76,0.2,1.86,1.88,1.39,0.66,1.24,1.69,2.04
11/30/2017,1.59,2.85,0.5,1.89,1.77,2.1,0.79,1.14,1.87,2.2
12/31/2017,1.38,2.74,1.1,1.91,1.59,1.87,0.84,1.63,1.74,2.11
1/31/2018,1.39,2.65,1.3,1.9,1.38,1.7,0.74,1.63,1.58,2.07
2/28/2018,1.09,2.44,1.5,1.88,1.19,2.16,0.63,2.2,1.61,2.21
3/31/2018,1.48,2.34,1.1,1.9,1.1,2.31,0.8,2.19,1.9,2.36
4/30/2018,1.28,2.23,0.6,1.97,1.15,2.22,0.8,2.38,1.73,2.46
5/31/2018,2.06,2.32,0.6,2.04,1.31,2.22,1,2.28,1.9,2.8
6/30/2018,1.86,2.32,0.7,2.08,1.5,2.45,1.15,2.55,2.07,2.87
7/31/2018,1.85,2.32,0.9,2.04,1.67,2.99,1.23,3.02,2.05,2.95
8/31/2018,1.85,2.4,1.3,1.96,1.81,2.84,1.18,3.42,2,2.7
9/30/2018,1.95,2.21,1.19,1.89,1.9,2.22,0.99,3.4,2.32,2.28
10/31/2018,2.34,2.2,1.39,1.86,1.95,2.44,1.11,3.11,2.27,2.52
11/30/2018,2.06,2.1,0.89,1.84,1.95,1.68,0.92,3.49,1.96,2.18
12/31/2018,1.56,2,0.3,1.78,1.89,1.99,0.69,3.49,2.04,1.91
