DATE,EUR,GBP,JPY,AUD,NZD,CAD,CHF,NOK,SEK
2016-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12,5.664942280573572e-46,3.0758302723140106e-46,5.154467876865828e-38,2.4252557063494133e-40,3.2707766695094894e-40,1.2554900227122825e-58,1.233839432716192e-42,-1.5119903908622067e-58,-5.726917453610192e-51
2017-01,-1.0724549709387268e-57,-1.1126331382072597e-72,1.0127456667139622e-46,-1.9893646955372521e-44,-1.06159797791156e-44,-4.207716674284087e-43,5.381115084170423e-48,-4.940317636499253e-30,-1.627471637669613e-33
2017-02,2.5044789050264343e-41,4.555916744932066e-43,1.401487588846685e-37,-2.1258473332364424e-43,7.121111150801626e-55,3.2615942488253246e-60,2.172632734880253e-33,-5.012645652456718e-33,-1.6212274167027614e-61
2017-03,7.162867272312532e-41,1.3159786449790893e-49,3.2116941948061844e-34,-2.7605961739064443e-53,6.210633334405924e-36,6.1424270570780355e-49,3.326656747230719e-30,-5.11876342682648e-41,-1.6415557854626604e-69
2017-04,7.823347848053225e-49,-1.962866835754268e-43,5.039428119216428e-30,7.234792480007693e-48,2.9074795873724124e-31,1.25336664656424e-34,8.683637703419203e-29,-4.1254223294877046e-40,-3.515855055731732e-61
2017-05,-1.1318303560334093e-46,-5.364642919530358e-44,1.6382461862127872e-28,1.4960970273143668e-42,3.1821215751463673e-38,4.780614600221122e-36,2.6739428014511217e-30,-2.1887837161216784e-34,-2.03067565820022e-43
2017-06,-3.5942150124952055e-41,-2.3922506154444166e-36,2.4627607646155545e-25,-1.8223226866352917e-46,-4.700314648646644e-65,5.937989336595075e-60,1.0209473998028197e-29,-1.6911885451608791e-31,-2.58775881638893e-33
2017-07,-1.783329894309014e-31,-4.846952349123542e-31,6.599808316047422e-26,-1.9976939563285497e-31,-2.565338647788364e-39,-1.730487797763328e-39,7.623768483127322e-27,-4.0341091780554514e-23,-5.474173567248469e-26
2017-08,-4.8734411007272765e-31,-7.062957344021602e-34,5.408905793558643e-25,-1.3355874073136553e-32,7.249364187388762e-45,-4.292141061430634e-42,3.0356651219933476e-26,-4.348438346197909e-22,-1.1045432782561946e-23
2017-09,-1.830922798034106e-33,-2.027478746718485e-26,3.392623312565942e-22,-1.4940212055460006e-36,1.128476732954693e-46,-1.7011096189566858e-44,5.315092090882857e-24,-3.16448476039485e-25,-2.23328232082518e-26
2017-10,-2.4637070476042064e-39,-7.445072881147109e-27,1.2427529345620057e-20,-2.7936498079863967e-51,4.120564776059139e-30,2.5653856541085324e-42,7.370796473453177e-21,-1.50458190587645e-29,-9.609728878725168e-31
2017-11,-9.216904478992573e-35,-6.198331561777748e-24,3.67459969787046e-20,2.397674801871199e-60,1.4803196951198896e-29,2.8450198963626227e-39,6.782029410590474e-21,-6.009736132977982e-35,-2.4590735146284687e-31
2017-12,-2.7770765620480856e-34,-2.191880472641866e-23,3.1344484447265983e-19,-2.3139461462157783e-41,8.945215256127093e-36,7.123831072372181e-58,1.226449354781727e-20,-3.2265437707617406e-34,-2.272966295575908e-28
2018-01,-6.568773469525607e-29,-6.858821536672985e-19,2.3618572435545596e-20,-2.9697847572262215e-32,1.569123894549098e-54,-2.923486739832893e-47,1.0288566399526755e-22,-6.694348139269282e-25,-7.301563602971465e-24
2018-02,-1.056998635171544e-33,-9.442940432725432e-21,2.892663600061629e-21,-1.4957385568878077e-46,2.3165326081327767e-37,1.402085720858834e-38,5.9753747870457524e-21,-1.3290977399839327e-28,-1.2320615756011522e-31
2018-03,-7.700269975993333e-34,-3.359531455256403e-19,4.525951848279268e-21,-3.359342804003643e-80,1.7379549528107372e-35,6.760746008798131e-37,1.4949367830823101e-19,-1.154618913225945e-27,-2.5572943672973834e-34
2018-04,-1.8223398280734978e-44,-1.5842817032029755e-20,6.560629229870403e-19,8.040961724618375e-42,2.506171302545435e-28,4.823748542061865e-38,3.297089872514294e-17,-2.312495807859837e-31,1.8326914482148695e-53
2018-05,2.6439099613639265e-40,-8.058956257586017e-24,2.7231255968542065e-18,9.532053768427149e-42,2.9197645392579e-26,7.80631609841448e-35,8.816497472209848e-17,-2.3068069815483988e-36,3.899774616566768e-42
2018-06,1.5564578808601333e-37,-4.565046802486473e-25,9.561830046773655e-17,5.148703172895099e-33,3.172197041530245e-22,4.712801114903453e-31,5.473564638132847e-16,-1.301136180248155e-36,2.340646756700743e-34
2018-07,5.628097070431815e-35,-1.8714079831840238e-26,1.198249279468065e-15,3.767964643318868e-32,7.728060182149943e-22,5.234595501330198e-32,1.864406434302604e-15,-3.921711179903786e-38,7.1093552905590475e-37
2018-08,3.114969121477889e-31,-4.2839265477263413e-29,2.9739387053163733e-15,1.92708214881542e-26,1.8659101231306912e-19,1.2307633669672052e-31,1.2860278036218625e-15,-4.6166044650750536e-60,5.996696885304245e-28
2018-09,5.119828380669623e-30,-9.569832409262426e-29,3.45514325476213e-14,2.934343163153569e-26,5.138698748717687e-19,6.41050269073005e-34,9.390374477576618e-15,-2.1681447523241362e-35,4.384007145595618e-31
2018-10,2.2142789589644505e-26,-1.3840994260280472e-32,4.422956099149353e-14,6.5866608823894775e-24,3.805057207583576e-18,2.6163191115889453e-30,1.0564309298554067e-13,-2.2116528716969168e-45,5.7554756608718415e-27
