DATE,EUR,GBP,JPY,AUD,NZD,CAD,CHF,NOK,SEK
2016-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12,1.029868931958502e-181,8.950544740408071e-183,7.058872695703686e-150,3.459633871540606e-159,1.144467765469943e-158,2.4845804464796115e-232,2.3175791954051487e-168,-5.2263215283083904e-232,-1.0756814847818807e-201
2017-01,-1.32286725428254e-228,-1.5325263928428786e-288,1.0519656876036224e-184,-1.566237527916138e-175,-1.2701070612498652e-176,-3.134627620417152e-170,8.384730748463345e-190,-5.956888768612256e-118,-7.01542062160002e-132
2017-02,3.934318473518318e-163,4.30827202221286e-170,3.857953817566824e-148,-2.0423411631133577e-171,2.571526820368653e-217,1.1316698110752368e-238,2.2281543637244908e-131,-6.31346853576804e-130,-6.908372680669372e-244
2017-03,2.632374136190954e-161,2.999130526640449e-196,1.0639880416805065e-134,-5.807798322159685e-211,1.4877965930762273e-141,1.4235083903819474e-193,1.2247063407691086e-118,-6.865311276625673e-162,-7.261437175467225e-276
2017-04,3.7460240606883233e-193,-1.484442395569987e-171,6.449484743932825e-118,2.739708227846558e-189,7.146060642844136e-123,2.4678146263523613e-136,5.685999046603398e-113,-2.8965008465465562e-158,-1.5280017455605068e-242
2017-05,-1.6410633658931743e-184,-8.28253499095764e-174,7.203053864057836e-112,5.010015160390615e-168,1.0253380461589237e-150,5.2231792946602256e-142,5.11220725085752e-119,-2.2951517013408735e-135,-1.7004436777399706e-171
2017-06,-1.6688458202758715e-162,-3.2751160997967155e-143,3.678653681696451e-99,-1.1028110968414103e-183,-4.880987841883077e-258,1.2432476684140501e-237,1.086459319438464e-116,-8.180278951109453e-124,-4.4843054550277677e-131
2017-07,-1.0114088726410816e-123,-5.51918562253444e-122,1.8972531761243742e-101,-1.5926334132534498e-123,-4.330906581850118e-155,-8.96755739879355e-156,3.3781489690012815e-105,-2.648442757359763e-90,-8.979956918091503e-102
2017-08,-5.640828378905728e-122,-2.4885497851991504e-133,8.55928859401333e-98,-3.1819200446973057e-128,2.7618473566243446e-177,-3.3938758111759045e-166,8.492106723613391e-103,-3.575471062118303e-86,-1.4884386828912318e-92
2017-09,-1.1237769749435048e-131,-1.6897608411199857e-103,1.324776355124968e-86,-4.982267564613632e-144,1.621699701301912e-184,-8.373927590976951e-176,7.9807402234454e-94,-1.0027947096310118e-98,-2.4875654249482724e-103
2017-10,-3.6843108357054585e-155,-3.072386258183676e-105,2.3852790255473844e-80,-6.090989635841146e-203,2.882882772376049e-118,4.3312240223208125e-167,2.951601195210387e-81,-5.124639724053919e-116,-8.527947930622607e-121
2017-11,-7.216728158675031e-137,-1.4760436997356577e-93,1.8232244656708606e-78,3.30492125738561e-239,4.8019990437404266e-116,6.551507337390066e-155,2.1156249258250346e-81,-1.3044325161854482e-137,-3.65667236057097e-123
2017-12,-5.947732289008573e-135,-2.308168289660292e-91,9.652604763881715e-75,-2.8669029307567776e-163,6.402700441350475e-141,2.575457869553736e-229,2.262551515383365e-80,-1.0838027389251327e-134,-2.6691438708685484e-111
2018-01,-1.8618176378238052e-113,-2.213084576375706e-73,3.111820782854877e-79,-7.77857234782856e-127,6.062181620133804e-216,-7.30473580798809e-187,1.1205196035763326e-88,-2.0083212164770214e-97,-2.842257954377932e-93
2018-02,-1.2482388809340407e-132,-7.951132677780925e-81,7.001510148674566e-83,-5.005215212605845e-184,2.879742602352828e-147,3.864544081698801e-152,1.2748544406295126e-81,-3.120525084987239e-112,-2.304250304946225e-124
2018-03,-3.5157971377300975e-133,-1.2738398969334636e-74,4.19604093824053e-82,-1.273553e-318,9.12334424229251e-140,2.0891926139106097e-145,4.9944918816945974e-76,-1.7772751504980934e-108,-4.276838867190248e-135
2018-04,-1.1028525912158883e-175,-6.299841548471372e-80,1.852601358613054e-73,4.180536113482039e-165,3.944963694744571e-111,5.41425418964935e-150,1.181743280230722e-66,-2.8597220001075915e-123,1.1281254928800846e-211
2018-05,4.88637332430552e-159,-4.218083707817279e-93,5.498835020145986e-71,8.255548512311926e-165,7.267605064889288e-103,3.7135094389790946e-137,6.0420504791354305e-65,-2.831685575466815e-143,2.312906265561153e-166
2018-06,5.868802452287358e-148,-4.342911083555064e-98,8.359187772178378e-65,7.027347348361101e-130,1.0126062952625438e-86,4.933060592107575e-122,8.975961980894037e-62,-2.86609784943164e-144,3.001535643107561e-135
2018-07,1.0033358200039519e-137,-1.2265179576202474e-103,2.061525475729243e-60,2.0157064047929662e-126,3.5668264780240066e-85,7.508142564077636e-126,1.208265492110262e-59,-2.365388195101067e-150,2.554588040599605e-145
2018-08,9.414884217538935e-123,-3.367968827611196e-114,7.822184454663375e-59,1.379116370392004e-103,1.2121681916011247e-75,2.2945537994469564e-124,2.7352777462186176e-60,-4.5424553708192335e-238,1.2931484647204597e-109
2018-09,6.8710263456606684e-118,-8.387206372109257e-113,1.4251620001354507e-54,7.413846807804714e-103,6.972887097763489e-74,1.6887616080336383e-133,7.775559466496002e-57,-2.2098006395425213e-139,3.6938989723892475e-122
2018-10,2.4039716008333237e-103,-3.6700261116167223e-128,3.8269299687862414e-54,1.8821802698690282e-93,2.096258141929215e-70,4.6855745762080534e-119,1.2455593650716902e-52,-2.3925876379038092e-179,1.0972987557414238e-105
