DATE,EUR,GBP,JPY,AUD,NZD,CAD,CHF,NOK,SEK
2016-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12,0.0,0.0,4.982768373415101e-299,1.1969066e-317,1.30980647e-316,0.0,0.0,-0.0,-0.0
2017-01,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-3.5484523801618846e-235,-4.921612649797081e-263
2017-02,0.0,0.0,1.4883807658478435e-295,-0.0,0.0,0.0,4.96467186858449e-262,-3.985988495213304e-259,-0.0
2017-03,6.9e-322,0.0,1.1320705528391192e-268,-0.0,2.213538702369229e-282,0.0,1.4999056211200598e-236,-5e-323,-0.0
2017-04,0.0,-0.0,4.1595853462222254e-235,0.0,5.106618271120594e-245,6.090109030038645e-272,3.233058515797475e-225,-8.38971717e-316,-0.0
2017-05,-0.0,-0.0,5.188398496851852e-223,0.0,1.0513181089009991e-300,2.728160194416729e-283,2.6134662975720196e-237,-5.267721332167906e-270,-0.0
2017-06,-5e-324,-1.072638546714765e-285,1.3532492909858857e-197,-0.0,-0.0,0.0,1.1803938527946903e-232,-6.691696371796438e-247,-2.0108995413991795e-261
2017-07,-1.0229479076571034e-246,-3.0461409935990874e-243,3.599569614314026e-202,-2.5364811890113336e-246,-1.87567518207127e-309,-8.0417085700657e-311,1.141189045676442e-209,-7.014249039011384e-180,-8.063962625077943e-203
2017-08,-3.1818944800268216e-243,-6.192880033414737e-266,7.326142123560667e-195,-1.0124615170846504e-255,0.0,-0.0,7.211587660523976e-205,-1.278399331604539e-171,-2.215449712726985e-184
2017-09,-1.2628746894131747e-262,-2.8552917001825215e-206,1.7550323910981954e-172,-2.482299008540105e-287,0.0,-0.0,6.369221451411932e-187,-1.0055972296639452e-196,-6.187981743398078e-206
2017-10,-1.357414633409664e-309,-9.43955731947589e-210,5.689556029716279e-160,-0.0,8.311013079262613e-236,0.0,8.711949615567384e-162,-2.6261932301351425e-231,-7.272589590741039e-241
2017-11,-5.20811653162131e-273,-2.1787050035293286e-186,3.324147452220795e-156,0.0,2.3059194816083972e-231,4.29222483918759e-309,4.475868826772184e-162,-1.7015441892818993e-274,-1.337125275256367e-245
2017-12,-3.5375519381715165e-269,-5.3276408533933166e-182,9.317277872771196e-149,-0.0,4.099457294166956e-281,0.0,5.1191393597635596e-160,-1.1746283769016192e-268,-7.124329003395139e-222
2018-01,-3.466364916511814e-226,-4.897743342192038e-146,9.68342858460754e-158,-6.050618777040313e-253,0.0,-0.0,1.2555641819988615e-176,-4.033354108551743e-194,-8.078430279224625e-186
2018-02,-1.558100303875466e-264,-6.322051085967566e-161,4.902114436199294e-165,-0.0,8.292917455805836e-294,1.4934700959393227e-303,1.6252538447927874e-162,-9.737676806034616e-224,-5.309569467844771e-248
2018-03,-1.2360829513671146e-265,-1.6226680830194574e-148,1.7606759555390463e-163,-0.0,8.323541016337191e-279,4.3647257780186455e-290,2.4944949156313242e-151,-3.158706960578021e-216,-1.829135069590916e-269
2018-04,-0.0,-3.9688003535846173e-159,3.4321317939349336e-146,0.0,1.556273855285274e-221,2.931414843013554e-299,1.3965171803704667e-132,-8.178009917899363e-246,0.0
2018-05,2.3876646e-317,-1.779223016615357e-185,3.02371865787839e-141,0.0,5.281808337920444e-205,1.3790152353386827e-273,3.6506373992420687e-129,-8.018443198306826e-286,0.0
2018-06,3.444284222397411e-295,-1.886087667966542e-195,6.987602021053653e-129,4.9383610754517795e-259,1.0253715092053338e-172,2.433508680540474e-243,8.05678934824552e-123,-8.214516882516673e-288,9.00921621684512e-270
2018-07,1.0066827677030027e-274,-1.504346300364943e-206,4.249887287080681e-120,4.0630723103233853e-252,1.272225112433314e-169,5.63722047625143e-251,1.4599054994244538e-118,-5.5950613135234844e-300,6.525920057174529e-290
2018-08,8.864004482966374e-245,-1.1343214023760733e-227,6.1186569642777355e-117,1.9019619630832148e-206,1.4693517247295414e-150,5.264977138556464e-248,7.481744348958798e-120,-0.0,1.6722329518088819e-218
2018-09,4.7211003042763e-235,-7.034523072835013e-225,2.0310867266300783e-108,5.496512448959614e-205,4.8621154478156537e-147,2.85191576876836e-266,6.04593250170156e-113,-4.8832188665225357e-278,1.3644889618218339e-243
2018-10,5.779079457613133e-206,-1.3469091659948558e-255,1.464539298599426e-107,3.542602568284248e-186,4.394298197604524e-140,2.195460910920728e-237,1.5514181319177916e-104,-0.0,1.2040645593516768e-210
